source,target,relation
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:723""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:789""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:785""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:857""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:769""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1290""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:807""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1400""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:911""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1090""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:10""","""4:964ea883-2693-4303-b60b-a2ba95416a01:944""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:11""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1070""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:11""","""4:964ea883-2693-4303-b60b-a2ba95416a01:906""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:11""","""4:964ea883-2693-4303-b60b-a2ba95416a01:899""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:11""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1413""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:11""","""4:964ea883-2693-4303-b60b-a2ba95416a01:68""","""CAPEC_TO_TECHNIQUE"""
"""4:964ea883-2693-4303-b60b-a2ba95416a01:12""","""4:964ea883-2693-4303-b60b-a2ba95416a01:1207""","""CAPEC_TO_TECHNIQUE"""
